                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8573,                 4.8085,                 1.8192,                0.00281,                0.33939,                0.00188,                0.00078,                    nan,                    nan,                    nan,                0.00028,                0.00028,                0.00028
                      1,                 1.7292,                 2.6073,                 1.7211,                0.00033,                0.00606,                0.00017,                  3e-05,                    nan,                    nan,                    nan,             0.00057809,             0.00057809,             0.00057809
                      2,                 1.7869,                 2.0806,                 1.8335,                0.00033,                0.00606,                0.00017,                  3e-05,                    nan,                    nan,                    nan,             0.00087419,             0.00087419,             0.00087419
                      3,                 1.8023,                 1.9453,                 1.8455,                0.00033,                0.00606,                0.00017,                  3e-05,                    nan,                    nan,                    nan,              0.0011683,              0.0011683,              0.0011683
                      4,                 1.7334,                 1.8929,                 1.8065,                0.00018,                0.02121,                  9e-05,                  4e-05,                    nan,                    nan,                    nan,              0.0014605,              0.0014605,              0.0014605
                      5,                 1.7692,                 1.8944,                 1.7812,                0.00416,                0.15152,                 0.0022,                0.00077,                 4.1953,                    inf,                 520.92,              0.0017506,              0.0017506,              0.0017506
                      6,                 1.7631,                  1.837,                 1.7794,                0.00096,                0.00606,                0.00046,                0.00014,                    nan,                    nan,                    nan,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.7359,                 1.8025,                 1.7583,                0.03362,                0.01212,                0.00248,                0.00138,                    nan,                    nan,                    nan,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.6956,                 1.7782,                 1.7301,                0.08333,                0.05455,                0.01089,                0.00333,                 3.5293,                 6.5766,                 3.8516,              0.0019538,              0.0019538,              0.0019538
                      9,                 1.6818,                 1.6782,                 1.7374,                0.05672,                0.03636,                0.01038,                0.00387,                 3.0533,                 10.442,                 3.8414,              0.0019472,              0.0019472,              0.0019472
                     10,                 1.6588,                 1.7326,                 1.6933,                 0.0008,                0.09697,                0.00044,                0.00011,                 5.2388,                    inf,                 236.69,              0.0019406,              0.0019406,              0.0019406
