                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7723,                 3.1456,                  1.693,                0.25288,                0.19697,                0.14126,                0.07667,                 1.8317,                 4.7798,                  1.733,                0.00028,                0.00028,                0.00028
                      1,                 1.5613,                 1.8946,                 1.5024,                0.01262,                0.56364,                0.01033,                0.00447,                 2.0577,                    inf,                  2.884,             0.00057809,             0.00057809,             0.00057809
                      2,                 1.5774,                 1.6321,                 1.5581,                0.00307,                0.13939,                0.00157,                0.00044,                    nan,                    nan,                    nan,             0.00087419,             0.00087419,             0.00087419
                      3,                 1.6457,                 1.6044,                 1.6318,                0.00541,                0.27576,                0.00341,                0.00108,                 3.3527,                    inf,                 39.124,              0.0011683,              0.0011683,              0.0011683
                      4,                 1.5829,                 1.5668,                 1.5994,                 0.0088,                0.00909,                0.00154,                0.00029,                  4.479,                 76.504,                 9.9956,              0.0014605,              0.0014605,              0.0014605
                      5,                 1.6303,                 1.5562,                 1.5952,                0.01181,                0.10909,                0.00333,                 0.0009,                 4.0823,                    inf,                 40.803,              0.0017506,              0.0017506,              0.0017506
                      6,                 1.6517,                 1.6235,                 1.6018,                0.00815,                0.22727,                0.00387,                0.00137,                 3.2805,                    inf,                 31.219,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.6545,                 1.6225,                  1.625,                0.03468,                0.21654,                 0.0214,                0.00868,                  2.445,                 21.801,                 3.0882,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.6176,                 1.5792,                 1.5843,                0.08669,                0.10303,                0.02583,                0.01131,                 2.8645,                 6.8503,                 3.0087,              0.0019538,              0.0019538,              0.0019538
                      9,                 1.5682,                 1.5569,                 1.5571,                0.46531,                 0.2558,                0.27711,                0.13783,                 2.1427,                 3.6988,                 2.3111,              0.0019472,              0.0019472,              0.0019472
                     10,                 1.5601,                 1.4982,                 1.5415,                0.40179,                0.28182,                0.23986,                0.10418,                 2.2399,                 5.5121,                 2.3847,              0.0019406,              0.0019406,              0.0019406
                     11,                 1.5461,                 1.4803,                 1.5173,                  0.296,                0.29394,                0.21579,                   0.11,                 1.9384,                 7.9175,                 2.0482,               0.001934,               0.001934,               0.001934
                     12,                 1.5043,                 1.3814,                 1.5106,                 0.4332,                0.34242,                0.31276,                0.14672,                 1.9951,                 5.7207,                 2.0369,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.4669,                 1.3418,                 1.4709,                0.37148,                0.28182,                0.26605,                0.12208,                 1.9027,                 5.7987,                  1.975,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.4627,                 1.3274,                 1.4694,                0.43909,                0.39091,                0.35606,                0.17705,                 1.8508,                 2.7094,                 1.9084,              0.0019142,              0.0019142,              0.0019142
                     15,                 1.4439,                 1.3141,                 1.4727,                0.46558,                0.37576,                0.36609,                0.17262,                 1.7969,                 2.6866,                 1.8338,              0.0019076,              0.0019076,              0.0019076
                     16,                 1.4104,                 1.2343,                 1.4387,                0.54696,                0.46061,                 0.4912,                0.27691,                 1.5805,                 2.5665,                 1.6195,               0.001901,               0.001901,               0.001901
                     17,                 1.4607,                 1.3085,                 1.4732,                0.62818,                0.46667,                0.52001,                0.26095,                 1.6397,                 2.3228,                 1.6946,              0.0018944,              0.0018944,              0.0018944
                     18,                 1.3951,                 1.2679,                 1.4491,                0.49719,                0.51212,                0.47445,                0.24365,                 1.7054,                 2.2783,                 1.7465,              0.0018878,              0.0018878,              0.0018878
                     19,                 1.4098,                 1.2414,                 1.4395,                0.53679,                 0.5303,                0.53093,                0.28297,                 1.5649,                 1.7644,                 1.5875,              0.0018812,              0.0018812,              0.0018812
                     20,                 1.3658,                 1.1834,                 1.3906,                0.50691,                0.47879,                0.48315,                0.26614,                 1.6526,                 1.7417,                 1.6306,              0.0018746,              0.0018746,              0.0018746
                     21,                 1.3445,                 1.1357,                 1.3771,                0.55618,                0.39394,                 0.4298,                0.22231,                 1.8274,                 1.8874,                 1.8039,               0.001868,               0.001868,               0.001868
                     22,                 1.3544,                 1.1576,                 1.4106,                0.62666,                0.55758,                0.63675,                 0.3617,                   1.49,                 1.3807,                 1.5387,              0.0018614,              0.0018614,              0.0018614
                     23,                 1.3373,                 1.1309,                 1.3827,                0.67253,                0.45455,                0.54268,                0.28597,                  1.698,                 1.6336,                  1.661,              0.0018548,              0.0018548,              0.0018548
                     24,                 1.3264,                 1.1627,                 1.3851,                0.69942,                 0.5641,                0.63412,                0.36122,                 1.5209,                 1.7401,                 1.5644,              0.0018482,              0.0018482,              0.0018482
                     25,                 1.2826,                 1.0959,                 1.3668,                0.57936,                0.46667,                0.50086,                0.27534,                  1.747,                 1.9197,                 1.6947,              0.0018416,              0.0018416,              0.0018416
                     26,                 1.2936,                 1.0632,                 1.3453,                0.63567,                    0.6,                0.63236,                0.36123,                 1.4668,                 1.8884,                 1.5082,               0.001835,               0.001835,               0.001835
                     27,                 1.2487,                 1.0201,                  1.324,                0.70309,                0.57576,                  0.643,                 0.3612,                  1.486,                 1.4556,                 1.5048,              0.0018284,              0.0018284,              0.0018284
                     28,                 1.2376,                 1.0156,                 1.3275,                0.68887,                0.62727,                0.68021,                0.38347,                 1.5008,                 1.3386,                 1.5457,              0.0018218,              0.0018218,              0.0018218
                     29,                 1.2653,                 1.0176,                 1.3312,                0.77846,                 0.5303,                0.64468,                0.34037,                 1.5251,                  1.398,                 1.5573,              0.0018152,              0.0018152,              0.0018152
                     30,                 1.2381,                 1.0171,                 1.3074,                0.66416,                 0.5697,                0.63926,                0.36735,                 1.5077,                 1.3729,                 1.5318,              0.0018086,              0.0018086,              0.0018086
                     31,                 1.2558,                 1.0207,                 1.3304,                0.61773,                0.59742,                0.61209,                0.32352,                   1.65,                 1.4514,                 1.5894,               0.001802,               0.001802,               0.001802
                     32,                 1.2409,                0.98145,                 1.3108,                0.66848,                0.58788,                 0.6451,                0.37251,                 1.6359,                 1.3355,                   1.64,              0.0017954,              0.0017954,              0.0017954
                     33,                 1.2575,                0.96723,                 1.3378,                0.79207,                0.62121,                0.70777,                0.42429,                 1.4547,                 1.1754,                 1.5049,              0.0017888,              0.0017888,              0.0017888
                     34,                 1.2246,                0.93418,                  1.302,                0.76999,                0.59697,                 0.6857,                0.37927,                 1.5578,                 1.2279,                 1.6082,              0.0017822,              0.0017822,              0.0017822
                     35,                 1.2225,                0.97484,                 1.2976,                0.77782,                0.56364,                0.68447,                0.40494,                 1.4731,                 1.2906,                 1.5547,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.2258,                0.94673,                 1.3161,                0.75675,                0.61279,                0.67497,                0.38091,                 1.5263,                 1.2487,                 1.5819,               0.001769,               0.001769,               0.001769
                     37,                 1.1967,                0.94796,                 1.3045,                0.64934,                0.63333,                0.66318,                 0.3925,                 1.4945,                  1.275,                 1.5423,              0.0017624,              0.0017624,              0.0017624
                     38,                  1.165,                0.91861,                  1.264,                0.74024,                0.51212,                0.62843,                 0.3493,                 1.5214,                 1.3976,                 1.5619,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.2075,                0.96649,                 1.3093,                0.76607,                0.61515,                0.69459,                0.42183,                 1.4175,                 1.1571,                 1.4849,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.1815,                0.94142,                  1.279,                0.78317,                    0.6,                0.68286,                0.39623,                 1.4774,                 1.2412,                 1.4868,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.1885,                0.90654,                 1.2719,                0.68659,                0.53636,                0.59679,                0.34262,                 1.5742,                 1.3888,                   1.56,               0.001736,               0.001736,               0.001736
                     42,                 1.1909,                0.94072,                 1.2876,                0.73551,                0.58146,                0.67527,                0.39577,                 1.4421,                 1.3013,                 1.4629,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.1356,                0.89219,                 1.2606,                0.65523,                0.59394,                0.64476,                0.36578,                 1.5237,                 1.3879,                 1.5609,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.1834,                0.89718,                 1.2791,                0.73408,                0.60231,                0.65497,                0.38672,                 1.5538,                 1.3225,                 1.5558,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.1669,                0.90253,                 1.2765,                0.70267,                0.59091,                0.65334,                0.36486,                 1.5866,                 1.4991,                 1.6247,              0.0017096,              0.0017096,              0.0017096
                     46,                  1.131,                0.85719,                 1.2337,                0.81262,                0.65758,                0.74401,                0.43394,                 1.3869,                 1.1388,                 1.4584,               0.001703,               0.001703,               0.001703
                     47,                 1.1283,                0.87601,                 1.2711,                0.69874,                0.57879,                0.62145,                0.35766,                 1.5636,                 1.4165,                 1.5895,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.1029,                0.81455,                 1.2371,                0.83334,                0.59091,                0.71838,                0.43188,                 1.4742,                 1.2123,                 1.5251,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.0665,                0.81152,                 1.2036,                0.70919,                0.63553,                0.68624,                0.39909,                 1.5043,                 1.2119,                 1.5874,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.1187,                0.82795,                 1.2383,                0.72739,                0.66302,                0.71969,                0.42154,                 1.5034,                 1.1611,                 1.5178,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.0639,                0.78843,                 1.2052,                0.78739,                0.57236,                0.67467,                0.40773,                 1.4583,                 1.2205,                 1.4951,                0.00167,                0.00167,                0.00167
                     52,                  1.104,                0.82355,                  1.229,                0.69748,                0.63578,                0.69334,                0.42308,                 1.3958,                 1.2402,                 1.4932,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.0628,                0.79393,                 1.2071,                0.69886,                0.65152,                0.67958,                0.40569,                 1.4019,                 1.3485,                 1.5209,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.0792,                0.78408,                 1.2144,                0.77588,                0.60844,                0.69646,                0.41466,                 1.4716,                 1.2265,                 1.5565,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.0736,                0.81034,                 1.2158,                0.69442,                0.59697,                0.63261,                0.36591,                  1.482,                 1.4239,                 1.5361,              0.0016436,              0.0016436,              0.0016436
