                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8002,                 3.1287,                 1.6143,                0.00704,                0.85152,                0.14419,                 0.0668,                 2.0286,                 3.4275,                 1.4827,                0.00028,                0.00028,                0.00028
                      1,                   1.53,                  2.017,                 1.3702,                0.59061,                0.13333,                0.21063,                0.10763,                 1.6956,                 3.3592,                 1.4416,             0.00057809,             0.00057809,             0.00057809
                      2,                  1.488,                 1.7756,                 1.3577,                0.47956,                0.18988,                0.21492,                0.11022,                  1.676,                 3.1287,                  1.534,             0.00087419,             0.00087419,             0.00087419
                      3,                 1.4792,                  1.641,                 1.3739,                0.71907,                0.11636,                0.19625,                0.09537,                  1.854,                 3.1396,                  1.691,              0.0011683,              0.0011683,              0.0011683
                      4,                 1.4706,                 1.6483,                 1.3707,                0.24047,                0.10909,                0.08965,                0.04974,                 1.9689,                 3.0494,                 1.8223,              0.0014605,              0.0014605,              0.0014605
                      5,                 1.4721,                 1.5961,                 1.3713,                0.08597,                0.08788,                0.02092,                0.00752,                 2.0651,                 3.6847,                 2.3025,              0.0017506,              0.0017506,              0.0017506
                      6,                 1.5153,                 1.5768,                 1.3934,                0.23124,                0.20303,                0.13683,                0.05898,                 2.2151,                 2.8201,                 1.9894,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.5085,                 1.5488,                 1.3954,                 0.4149,                0.23636,                0.21704,                0.09987,                 2.2058,                 2.4935,                 1.9393,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.4754,                 1.4806,                 1.3723,                0.41962,                0.20909,                0.19778,                0.08605,                 2.2118,                 2.9245,                 2.1035,              0.0019538,              0.0019538,              0.0019538
                      9,                 1.4755,                 1.4185,                 1.3753,                0.02057,                    0.2,                0.00993,                 0.0048,                 2.1513,                 5.8147,                 2.0361,              0.0019472,              0.0019472,              0.0019472
                     10,                 1.4587,                 1.4085,                 1.3521,                0.00269,                0.09091,                 0.0014,                0.00066,                 2.5383,                 14.454,                 2.6414,              0.0019406,              0.0019406,              0.0019406
                     11,                 1.4737,                 1.3666,                 1.3529,                 0.4083,                0.31212,                0.27402,                0.12372,                 2.1381,                 2.4333,                 1.8547,               0.001934,               0.001934,               0.001934
                     12,                 1.3966,                  1.313,                 1.3469,                0.58447,                0.42121,                0.45603,                0.22272,                  1.736,                 1.8571,                 1.5674,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.3921,                 1.2754,                 1.3202,                 0.5335,                0.43665,                0.43539,                0.20419,                  1.774,                  1.852,                 1.5821,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.4082,                 1.2846,                 1.3174,                0.63176,                0.43636,                0.51302,                0.25917,                 1.7504,                 1.6082,                 1.5656,              0.0019142,              0.0019142,              0.0019142
                     15,                 1.3788,                  1.242,                 1.3137,                0.59554,                0.52121,                0.51707,                0.27377,                  1.645,                 1.7507,                 1.5249,              0.0019076,              0.0019076,              0.0019076
                     16,                 1.3322,                 1.1513,                 1.2798,                0.70384,                0.54545,                0.62239,                0.34422,                  1.591,                 1.4542,                 1.4641,               0.001901,               0.001901,               0.001901
                     17,                 1.3854,                 1.2101,                  1.316,                0.73312,                 0.5303,                0.61236,                  0.346,                 1.5823,                 1.5677,                 1.5118,              0.0018944,              0.0018944,              0.0018944
                     18,                 1.3263,                 1.1823,                 1.2835,                0.61844,                0.55455,                0.58534,                0.33631,                 1.5678,                 1.6081,                 1.4635,              0.0018878,              0.0018878,              0.0018878
                     19,                 1.3582,                 1.1649,                 1.2827,                0.69856,                0.53333,                0.61578,                0.33528,                 1.5545,                 1.5559,                 1.4686,              0.0018812,              0.0018812,              0.0018812
                     20,                 1.3365,                 1.1549,                 1.2648,                0.62279,                0.49697,                0.53749,                0.29999,                 1.6327,                  1.641,                 1.5113,              0.0018746,              0.0018746,              0.0018746
                     21,                 1.3227,                 1.1178,                 1.2612,                0.75896,                0.52424,                0.62259,                0.36046,                 1.5155,                 1.4298,                 1.3789,               0.001868,               0.001868,               0.001868
                     22,                 1.3167,                 1.0954,                 1.2684,                 0.6836,                 0.5827,                0.64068,                0.37068,                 1.5547,                 1.2966,                 1.4207,              0.0018614,              0.0018614,              0.0018614
                     23,                 1.3025,                 1.0989,                 1.2742,                0.67822,                0.54242,                0.61907,                0.33537,                 1.6204,                 1.4045,                 1.4688,              0.0018548,              0.0018548,              0.0018548
                     24,                 1.2892,                 1.0862,                 1.2671,                0.66572,                0.61515,                0.65393,                0.38046,                 1.5281,                 1.3699,                 1.4309,              0.0018482,              0.0018482,              0.0018482
                     25,                 1.2438,                 1.0764,                 1.2416,                0.70065,                0.57576,                0.64443,                0.38295,                 1.4562,                 1.3735,                 1.3592,              0.0018416,              0.0018416,              0.0018416
                     26,                 1.2624,                 1.0481,                 1.2251,                0.63947,                0.55758,                0.61117,                0.33232,                 1.5652,                 1.5873,                 1.4342,               0.001835,               0.001835,               0.001835
                     27,                 1.2268,                 1.0156,                 1.2227,                0.60421,                0.61526,                0.60109,                0.32965,                 1.5424,                 1.4813,                 1.4013,              0.0018284,              0.0018284,              0.0018284
                     28,                 1.2437,                 1.0187,                 1.2413,                0.66983,                0.57273,                0.61942,                0.33669,                  1.554,                 1.6249,                 1.4395,              0.0018218,              0.0018218,              0.0018218
                     29,                  1.255,                 1.0336,                 1.2304,                0.73484,                 0.6303,                0.70528,                 0.4209,                 1.4209,                  1.277,                 1.3468,              0.0018152,              0.0018152,              0.0018152
                     30,                 1.2447,                 1.0101,                 1.2252,                0.64818,                0.61971,                0.64296,                0.34259,                 1.5644,                 1.2868,                 1.4831,              0.0018086,              0.0018086,              0.0018086
                     31,                 1.2467,                 1.0377,                 1.2297,                0.76461,                0.60303,                0.70547,                 0.4086,                 1.4858,                 1.2487,                 1.4008,               0.001802,               0.001802,               0.001802
                     32,                 1.2353,                0.98587,                 1.2139,                0.69622,                0.62506,                0.67508,                0.38458,                 1.4404,                 1.3477,                 1.3647,              0.0017954,              0.0017954,              0.0017954
                     33,                 1.2202,                0.98594,                  1.216,                0.70573,                0.52121,                 0.6022,                 0.3298,                 1.5721,                 1.5872,                 1.4822,              0.0017888,              0.0017888,              0.0017888
                     34,                 1.2346,                0.97451,                 1.2131,                0.69959,                0.62121,                0.67098,                 0.3794,                 1.5869,                 1.2538,                 1.4828,              0.0017822,              0.0017822,              0.0017822
                     35,                 1.2265,                0.98488,                  1.212,                0.73151,                0.53939,                0.63124,                0.35852,                 1.5549,                 1.3302,                 1.4478,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.2341,                0.94544,                 1.2275,                0.77841,                0.56419,                0.67141,                0.38817,                 1.5455,                 1.2851,                 1.4037,               0.001769,               0.001769,               0.001769
                     37,                 1.1791,                0.93463,                 1.1894,                0.70955,                0.58182,                0.63842,                0.35917,                 1.5767,                 1.2834,                 1.3924,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.1889,                0.93516,                 1.1776,                0.81735,                0.59666,                0.71202,                0.41939,                 1.4554,                 1.1786,                 1.3878,              0.0017558,              0.0017558,              0.0017558
                     39,                  1.198,                0.93159,                 1.2067,                0.67203,                0.66667,                0.71302,                0.42536,                 1.3952,                 1.1482,                  1.367,              0.0017492,              0.0017492,              0.0017492
                     40,                  1.176,                0.91843,                 1.1924,                0.74119,                0.65758,                0.71798,                0.41324,                 1.5359,                 1.2141,                 1.4639,              0.0017426,              0.0017426,              0.0017426
                     41,                  1.201,                0.92774,                 1.1904,                0.69325,                 0.6303,                0.67012,                0.37558,                 1.5204,                 1.3215,                   1.45,               0.001736,               0.001736,               0.001736
                     42,                 1.1996,                0.94228,                 1.2067,                0.62719,                0.56588,                0.59573,                0.31361,                 1.5965,                 1.3793,                 1.4521,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.1696,                0.92564,                 1.1878,                0.84027,                0.55455,                0.70321,                0.40763,                 1.5173,                 1.1619,                 1.4206,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.2114,                0.93047,                 1.2014,                0.64919,                    0.6,                0.60907,                0.35085,                 1.4948,                 1.3936,                 1.4059,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.1808,                0.91921,                 1.2067,                0.73555,                0.64899,                0.71831,                0.40469,                 1.4935,                 1.2429,                 1.3901,              0.0017096,              0.0017096,              0.0017096
                     46,                  1.168,                0.89181,                 1.1889,                0.67363,                0.60669,                0.66014,                0.38637,                 1.4368,                 1.2969,                  1.347,               0.001703,               0.001703,               0.001703
                     47,                 1.1168,                 0.8854,                 1.1648,                 0.7569,                0.58497,                0.66387,                0.38565,                 1.5781,                 1.3871,                 1.4425,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.1414,                 0.8582,                  1.166,                0.74502,                 0.6303,                0.72067,                0.41513,                 1.4684,                 1.1725,                   1.37,              0.0016898,              0.0016898,              0.0016898
                     49,                  1.142,                0.85204,                 1.1603,                0.76382,                0.61515,                0.70112,                0.41272,                 1.4823,                 1.1601,                 1.4075,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.1568,                0.85842,                 1.1812,                0.70989,                0.64848,                0.69878,                0.40485,                 1.5118,                 1.2422,                 1.4082,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.1481,                0.86796,                 1.1585,                0.74425,                0.66061,                0.71855,                0.42251,                 1.4947,                 1.1767,                 1.4217,                0.00167,                0.00167,                0.00167
                     52,                 1.1426,                0.86347,                 1.1666,                0.69767,                0.63333,                0.69037,                0.41762,                 1.4641,                 1.2012,                 1.3857,              0.0016634,              0.0016634,              0.0016634
                     53,                  1.105,                0.83253,                  1.143,                0.75798,                0.63939,                0.70767,                0.41047,                 1.4608,                 1.2067,                 1.3682,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.1276,                0.80825,                 1.1421,                0.72811,                0.63333,                0.70481,                0.40868,                 1.4479,                 1.1476,                 1.3901,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.1262,                 0.8336,                 1.1613,                0.69686,                0.63939,                0.69943,                0.40315,                 1.4796,                 1.2167,                 1.3995,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.0885,                0.79995,                 1.1272,                0.75117,                0.62727,                0.70503,                0.42469,                 1.4457,                  1.199,                 1.3653,               0.001637,               0.001637,               0.001637
