                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8496,                 3.9454,                 1.6616,                0.33648,                0.32424,                0.25766,                 0.1371,                  1.696,                  4.074,                 1.4816,                0.00028,                0.00028,                0.00028
                      1,                 1.4967,                 1.8946,                 1.3653,                 0.4531,                0.49458,                 0.4248,                0.20985,                 1.7267,                 2.8817,                 1.6573,             0.00057809,             0.00057809,             0.00057809
                      2,                  1.502,                 1.5432,                 1.4163,                0.09849,                0.26061,                0.05893,                0.02439,                  1.947,                 15.385,                 2.0415,             0.00087419,             0.00087419,             0.00087419
                      3,                 1.5035,                 1.4724,                 1.4022,                0.35509,                0.41212,                0.33056,                 0.1467,                 1.8882,                 5.0576,                 1.9955,              0.0011683,              0.0011683,              0.0011683
                      4,                 1.5204,                  1.411,                 1.4234,                0.08997,                0.26667,                0.04327,                0.01695,                 2.4486,                 6.5341,                 3.0745,              0.0014605,              0.0014605,              0.0014605
                      5,                 1.5274,                 1.4683,                 1.4454,                0.00673,                0.27879,                0.00398,                0.00176,                 2.6814,                    inf,                 3.1187,              0.0017506,              0.0017506,              0.0017506
                      6,                 1.5444,                 1.4844,                 1.4423,                 0.0504,                0.12727,                 0.0243,                0.01116,                 2.2502,                 9.0563,                 2.2605,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.5468,                 1.4627,                 1.4271,                0.20987,                 0.2294,                0.16463,                0.07643,                 2.0918,                 6.1219,                 2.0802,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.5119,                 1.3999,                 1.4222,                0.02337,                0.41818,                 0.0154,                0.00667,                  2.189,                 12.488,                 2.0822,              0.0019538,              0.0019538,              0.0019538
                      9,                 1.5163,                 1.3457,                 1.4376,                 0.4227,                 0.3303,                0.30333,                0.15538,                 1.8546,                 2.9792,                 1.7557,              0.0019472,              0.0019472,              0.0019472
                     10,                 1.4871,                 1.3779,                 1.4139,                0.32158,                0.27576,                0.24896,                0.11952,                 2.0787,                 2.8862,                 1.9002,              0.0019406,              0.0019406,              0.0019406
                     11,                 1.4807,                 1.3344,                 1.3952,                0.50773,                0.49071,                 0.4672,                0.23564,                 1.6865,                  2.772,                 1.6812,               0.001934,               0.001934,               0.001934
                     12,                 1.4469,                 1.2784,                 1.3999,                0.50219,                0.46667,                0.46207,                0.23721,                 1.7514,                 2.3753,                 1.6751,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.4395,                 1.2589,                 1.3524,                0.58942,                0.45455,                0.47658,                0.25426,                 1.6548,                 2.1564,                 1.5881,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.4561,                 1.2616,                 1.3742,                0.59172,                0.41722,                0.45933,                 0.2446,                 1.6865,                 2.3257,                  1.576,              0.0019142,              0.0019142,              0.0019142
                     15,                 1.3837,                  1.189,                 1.3312,                0.52249,                0.45152,                0.45006,                0.23741,                 1.6968,                 1.9784,                 1.6331,              0.0019076,              0.0019076,              0.0019076
                     16,                  1.362,                 1.1305,                 1.3075,                0.70699,                0.51818,                0.60742,                0.33865,                 1.6446,                 1.4302,                 1.4989,               0.001901,               0.001901,               0.001901
                     17,                 1.3786,                 1.1701,                 1.3236,                0.59566,                0.42409,                 0.4443,                0.23827,                 1.7175,                 1.8898,                 1.6074,              0.0018944,              0.0018944,              0.0018944
                     18,                 1.3367,                 1.1634,                 1.3194,                0.58038,                0.54487,                0.54294,                0.30519,                 1.6247,                 1.7573,                 1.5446,              0.0018878,              0.0018878,              0.0018878
                     19,                  1.357,                 1.1404,                 1.3085,                0.59606,                0.55152,                0.56909,                0.32052,                 1.5203,                  1.526,                 1.4466,              0.0018812,              0.0018812,              0.0018812
                     20,                 1.3005,                 1.0996,                   1.26,                0.61214,                    0.6,                0.60785,                0.34427,                 1.5982,                 1.4316,                 1.4993,              0.0018746,              0.0018746,              0.0018746
                     21,                 1.2864,                 1.0452,                 1.2524,                0.68936,                    0.6,                0.63787,                0.34811,                  1.568,                 1.3146,                 1.4837,               0.001868,               0.001868,               0.001868
                     22,                 1.3066,                 1.0605,                  1.286,                0.69422,                0.57576,                0.64281,                0.36839,                 1.5714,                 1.3122,                 1.4819,              0.0018614,              0.0018614,              0.0018614
                     23,                 1.2844,                 1.0505,                  1.273,                0.68923,                0.55455,                0.60988,                0.33387,                 1.6136,                 1.3237,                 1.5474,              0.0018548,              0.0018548,              0.0018548
                     24,                 1.2866,                 1.0489,                 1.2774,                0.59433,                0.47576,                0.51609,                0.26152,                 1.7677,                 1.7627,                 1.6005,              0.0018482,              0.0018482,              0.0018482
                     25,                 1.2478,                 1.0387,                 1.2483,                 0.6999,                0.59366,                0.63557,                0.35867,                 1.4937,                 1.4033,                 1.4507,              0.0018416,              0.0018416,              0.0018416
                     26,                 1.2382,                 0.9941,                  1.227,                0.73743,                0.54242,                0.66472,                0.38145,                 1.5377,                 1.5643,                  1.461,               0.001835,               0.001835,               0.001835
                     27,                 1.2251,                0.97265,                 1.2313,                 0.6952,                0.61818,                0.67339,                0.38106,                 1.5617,                 1.4115,                 1.4479,              0.0018284,              0.0018284,              0.0018284
                     28,                 1.2336,                0.97762,                 1.2444,                0.69479,                0.61212,                0.66034,                0.38106,                   1.53,                 1.4551,                 1.4469,              0.0018218,              0.0018218,              0.0018218
                     29,                 1.2448,                0.98948,                  1.238,                0.69843,                0.61212,                0.69157,                0.37596,                  1.493,                 1.3304,                 1.4244,              0.0018152,              0.0018152,              0.0018152
                     30,                 1.2315,                0.95442,                  1.222,                0.66101,                0.60303,                0.63009,                0.37914,                  1.531,                 1.2952,                 1.5022,              0.0018086,              0.0018086,              0.0018086
                     31,                 1.2596,                 1.0021,                 1.2573,                0.70145,                0.56667,                0.63941,                 0.3571,                 1.5812,                 1.2986,                 1.5054,               0.001802,               0.001802,               0.001802
                     32,                 1.2303,                0.93476,                 1.2308,                0.71109,                0.58788,                0.67344,                0.38245,                 1.5541,                 1.3606,                  1.496,              0.0017954,              0.0017954,              0.0017954
                     33,                 1.2075,                0.95767,                 1.2223,                0.68319,                0.57879,                0.60677,                0.33934,                  1.631,                 1.4122,                 1.6109,              0.0017888,              0.0017888,              0.0017888
                     34,                 1.1967,                0.92324,                 1.2163,                0.76118,                0.56364,                0.65133,                0.36665,                 1.5621,                 1.3032,                 1.4866,              0.0017822,              0.0017822,              0.0017822
