                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9098,                 5.1168,                 1.8543,                0.01512,                0.14848,                0.00878,                0.00353,                 2.5361,                    nan,                 4.8579,                0.00028,                0.00028,                0.00028
                      1,                 1.7646,                 2.8717,                 1.7836,                  8e-05,                0.00606,                  4e-05,                  1e-05,                    nan,                    nan,                    nan,             0.00057809,             0.00057809,             0.00057809
                      2,                  1.808,                 2.1162,                 1.8808,                  8e-05,                0.00606,                  4e-05,                  1e-05,                    nan,                    nan,                    nan,             0.00087419,             0.00087419,             0.00087419
                      3,                 1.7809,                 1.9202,                 1.8429,                  8e-05,                0.00606,                  4e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0011683,              0.0011683,              0.0011683
                      4,                 1.7427,                 1.8918,                 1.8173,                0.00024,                0.02424,                0.00012,                  3e-05,                    nan,                    nan,                    nan,              0.0014605,              0.0014605,              0.0014605
                      5,                 1.7461,                 1.8651,                 1.7861,                0.00449,                0.13636,                0.00252,                0.00071,                    nan,                    nan,                    nan,              0.0017506,              0.0017506,              0.0017506
                      6,                 1.7735,                 1.8706,                 1.8063,                0.00293,                0.08788,                0.00157,                0.00038,                 4.0292,                    inf,                 662.93,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.7716,                  1.832,                 1.7892,                0.21128,                 0.1697,                0.11784,                 0.0421,                 2.4264,                 14.772,                 2.8157,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.6532,                 1.7012,                 1.7141,                0.12666,                0.10108,                0.04594,                0.01614,                 2.6613,                 8.6375,                 3.4234,              0.0019538,              0.0019538,              0.0019538
                      9,                  1.658,                 1.7195,                 1.7289,                0.32719,                0.23333,                0.20455,                0.09402,                 2.1889,                 7.0255,                 2.4948,              0.0019472,              0.0019472,              0.0019472
                     10,                  1.659,                 1.7187,                 1.7089,                 0.2809,                0.13939,                 0.1332,                 0.0477,                 2.4132,                 8.1471,                 2.6206,              0.0019406,              0.0019406,              0.0019406
                     11,                 1.6353,                 1.6606,                 1.6792,                0.15895,                    0.2,                0.06224,                0.02288,                 2.2067,                 19.098,                 2.4724,               0.001934,               0.001934,               0.001934
                     12,                 1.5751,                  1.591,                 1.6685,                0.30614,                0.30909,                0.22141,                 0.1044,                  1.984,                 5.8505,                 2.0825,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.5099,                 1.4744,                 1.6001,                0.41863,                0.28788,                0.28124,                 0.1249,                 1.9802,                   5.02,                 2.2547,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.5397,                  1.505,                 1.6058,                0.41102,                0.34259,                0.32548,                0.16334,                 2.0197,                 4.3723,                 2.2437,              0.0019142,              0.0019142,              0.0019142
                     15,                 1.5414,                  1.473,                 1.6216,                0.21908,                0.27273,                0.18081,                0.07731,                 2.1932,                 3.1749,                 2.2343,              0.0019076,              0.0019076,              0.0019076
                     16,                 1.5008,                  1.397,                 1.6096,                0.44827,                0.27273,                0.26672,                0.11957,                 2.2215,                 2.5876,                 2.0639,               0.001901,               0.001901,               0.001901
                     17,                 1.5031,                 1.4557,                 1.5826,                0.53587,                0.31818,                0.36474,                0.16142,                 2.0749,                 3.0412,                 2.1814,              0.0018944,              0.0018944,              0.0018944
                     18,                 1.4663,                 1.4051,                 1.5915,                 0.4534,                0.41515,                0.38186,                0.19017,                 1.8675,                 2.7219,                 1.9384,              0.0018878,              0.0018878,              0.0018878
                     19,                 1.4767,                 1.4083,                 1.5771,                 0.5231,                0.47879,                0.48462,                0.24696,                  1.762,                 2.1842,                 1.9284,              0.0018812,              0.0018812,              0.0018812
                     20,                 1.4367,                 1.3001,                  1.516,                0.62113,                0.44215,                0.52239,                0.26686,                 1.7784,                 1.9365,                 1.8882,              0.0018746,              0.0018746,              0.0018746
                     21,                 1.4571,                  1.318,                 1.5577,                0.45657,                0.28769,                 0.3021,                0.14686,                 2.0378,                 2.7681,                  2.122,               0.001868,               0.001868,               0.001868
                     22,                 1.4082,                 1.2884,                  1.536,                0.52879,                0.47273,                 0.4635,                0.23825,                 1.8224,                 1.8615,                 1.9248,              0.0018614,              0.0018614,              0.0018614
                     23,                 1.4076,                 1.2867,                 1.5361,                0.64002,                0.52727,                0.58012,                0.31094,                 1.6626,                 1.6059,                 1.8012,              0.0018548,              0.0018548,              0.0018548
                     24,                 1.3932,                 1.2796,                 1.5375,                0.64743,                0.39394,                0.46451,                 0.2449,                 1.7354,                 1.9032,                 1.7999,              0.0018482,              0.0018482,              0.0018482
                     25,                 1.4019,                 1.2934,                 1.5372,                0.60719,                0.47576,                0.54075,                0.26481,                 1.8905,                 1.8248,                 1.9998,              0.0018416,              0.0018416,              0.0018416
                     26,                 1.3805,                 1.1923,                 1.4882,                0.76889,                0.43351,                 0.5543,                0.29234,                 1.7227,                 1.9295,                 1.7901,               0.001835,               0.001835,               0.001835
                     27,                 1.3443,                 1.1467,                  1.474,                0.69988,                0.50909,                0.60479,                 0.3251,                  1.671,                 1.6153,                 1.7625,              0.0018284,              0.0018284,              0.0018284
